generationNo,genotypeID,timeAlive,alive,groupingScore
339,0,25.842708333332475,0.3125,0.30681682932635085
339,1,28.531770833332352,0.5625,0.4912074506069983
339,2,24.636979166665895,0.4375,0.41162818376577004
339,3,23.72864583333257,0.375,0.3199387050702214
339,4,26.001041666665785,0.5,0.41170257081647227
339,5,21.82916666666596,0.3125,0.31038740776005713
339,6,30.79583333333223,0.5625,0.37314032373244466
339,7,28.557291666665687,0.6875,0.35326410378481315
339,8,26.396354166665695,0.5625,0.16798083789573912
339,9,26.585937499999034,0.5625,0.20526362770768863
339,10,24.248437499999227,0.4375,0.41024458462270885
339,11,27.65104166666574,0.3125,0.3614318019519162
339,12,24.89374999999923,0.375,0.3205784337062604
339,13,27.841145833332398,0.625,0.49098428945489175
339,14,22.218229166665967,0.375,0.28993096881694835
339,15,29.72864583333229,0.625,0.3886277076886456
